"intercept","slope","sigma","iter"
2.97898093393684,-0.643793031906665,0.307238267499915,1
2.28103192211111,-0.4593804798943,0.289123281819356,2
2.95542756874333,-0.617963717084535,0.242758786797095,3
2.46702222572136,-0.501467219450229,0.233147435423209,4
2.68229204929665,-0.570658160637797,0.268528258262718,5
2.48249449464322,-0.513460818870781,0.279427984586791,6
2.90169903529567,-0.617732925791318,0.206049484862426,7
2.43442022837854,-0.489155832244616,0.24742466363731,8
2.97196755305594,-0.640291626858552,0.303859732023897,9
2.66613748360868,-0.567603666522278,0.275990198058531,10
2.91844863681432,-0.631267967541127,0.239268449908685,11
2.64632520343623,-0.548478893934268,0.241821821480392,12
2.9431151866491,-0.611703361766318,0.254784586726189,13
2.81934453835621,-0.586494953378686,0.24676528442728,14
2.20706088796299,-0.438626509639011,0.269760535633484,15
2.79295975895561,-0.591797569074687,0.253691907580105,16
2.60224107616045,-0.545868339917715,0.215536849599234,17
2.69692041747223,-0.560312978532683,0.251445237951143,18
3.35970750891927,-0.72844085592241,0.261586943153899,19
2.64887565827124,-0.548379152622091,0.249355635596121,20
2.37697736075908,-0.467101557675902,0.292199526811281,21
2.26401313443652,-0.453459479315837,0.24001253066806,22
2.86983511971467,-0.613432760723028,0.243758658463394,23
3.03289624883568,-0.66658419027408,0.250056222451153,24
2.62097068014867,-0.538716622226106,0.234512575141089,25
2.53024613098494,-0.53452630465191,0.240869168334655,26
2.65822653810222,-0.556790595547415,0.199623910120328,27
2.4059586105775,-0.494804201263423,0.22079656999524,28
2.62951392170941,-0.53618667045126,0.272266218271967,29
3.037516378731,-0.653100759842135,0.243785064267997,30
3.04059389709314,-0.646284429960445,0.258263615006256,31
2.84249549117838,-0.595484422333806,0.260851297814865,32
3.1491989949642,-0.665030652149045,0.260469493190363,33
2.21253777025816,-0.447084246871867,0.286233108657459,34
2.82568128983629,-0.599424305223499,0.260699517159172,35
3.0000765618551,-0.644456869870214,0.232844199804482,36
2.50605280039006,-0.518491242026807,0.272888376952077,37
2.79107394323576,-0.593102369714689,0.244758027558994,38
2.50905909550815,-0.526655745703433,0.26894807379572,39
2.48560010960008,-0.52034443064208,0.266673509528081,40
2.67166544049108,-0.572318854736095,0.301647556762364,41
2.8220521525073,-0.600005844318562,0.236665556167111,42
2.87318289161171,-0.615574382064942,0.232390386985552,43
2.57330421932764,-0.545138419026677,0.239883172530316,44
2.51118528428138,-0.517042770466242,0.265777505087841,45
2.83986706387522,-0.600405776674838,0.297267581653177,46
3.21255193382458,-0.69169812122796,0.254766434647729,47
2.75475677924502,-0.594958869175722,0.271755543975213,48
2.78765397319873,-0.587291053032585,0.20468434831653,49
2.58194397574264,-0.539997391280404,0.278795568181508,50
2.3667352128342,-0.482751630882127,0.262481769787863,51
2.78187437085876,-0.588462819141817,0.220526300350462,52
2.82634638250484,-0.59147624626014,0.253581107246537,53
2.88919691418693,-0.60446820960915,0.224506901379143,54
2.62546663701784,-0.530386977421855,0.292247082195692,55
2.9891005684464,-0.634763855219803,0.211489330196943,56
2.72983952326119,-0.565800036579642,0.231952889392578,57
2.39092040244747,-0.497512510983081,0.252907265137611,58
2.9753558295338,-0.64094520935301,0.259443431228284,59
2.4346390542526,-0.498885549180671,0.39277081327947,60
3.0274810742119,-0.660031818079078,0.316889941520749,61
2.40512788953948,-0.482515155856117,0.223510333490062,62
2.55202248239846,-0.517048700589634,0.234032993179334,63
2.59313981966945,-0.543385870009072,0.222571473179712,64
2.70201723701921,-0.564638435989844,0.256334478725054,65
2.68756008652509,-0.558079888041884,0.225445154076389,66
2.88485202681235,-0.612545991884034,0.267410877579386,67
2.40822631657338,-0.502259365680851,0.277507506504659,68
2.88133848706105,-0.602240117041718,0.256653866879351,69
2.98276873153668,-0.639848811763758,0.253593861416231,70
2.65381096356039,-0.55212959505048,0.252850752070452,71
2.72482574851045,-0.558834814276205,0.299290304849511,72
2.51685519067239,-0.522487710135434,0.238739989337746,73
2.61349109176856,-0.560177392126162,0.228165550636974,74
2.41684284976519,-0.480829734165103,0.258172146146898,75
2.64802405627622,-0.557079258458204,0.266848887098174,76
2.08532049626773,-0.41251243020235,0.253748606332857,77
2.43832134742701,-0.492939560698219,0.310853186059673,78
2.52484572164647,-0.541041288385706,0.294164493845286,79
2.90093397974344,-0.615497370395148,0.27005184297696,80
2.63712844578613,-0.543302468356648,0.254884676346363,81
2.33856908802633,-0.481351450881298,0.284067797225021,82
2.55766081923232,-0.535933278544281,0.269116034645743,83
3.05827478453251,-0.667770811977015,0.244033012808369,84
2.47476108963925,-0.503150083616088,0.19770533516672,85
2.80642207323806,-0.58244154903474,0.274837398861398,86
2.50538643694493,-0.51552776915203,0.27676180370175,87
2.87105386215594,-0.613552351493508,0.271019469534742,88
2.34583854401385,-0.497577044702367,0.25734721647238,89
2.74547176999261,-0.553812925572916,0.259264877694726,90
2.56741264259977,-0.535210480518094,0.234931952887088,91
2.62407488865964,-0.548275084409405,0.230380691827022,92
2.06730594466358,-0.391248870520701,0.305337543329358,93
2.95789392975989,-0.642537709665929,0.249868587026438,94
2.91138855504264,-0.621799932535708,0.228092321653485,95
2.60867335831505,-0.54692931845146,0.216952063417758,96
2.51606511785467,-0.525379394760297,0.265718989762266,97
2.99231830020416,-0.635775239558709,0.279079654165836,98
2.62167590957911,-0.542036438047847,0.272900002980879,99
3.09759980042192,-0.674630936177459,0.329241782716868,100
2.63780914165671,-0.537943329787525,0.213893734150508,101
3.02485541535693,-0.640060327150094,0.228731588501144,102
3.00160567228212,-0.646955857517269,0.253593623707854,103
2.81551588152398,-0.606833018959534,0.258988184415788,104
2.23758788964724,-0.450470674645487,0.289602618218429,105
2.86107134146824,-0.597547489206784,0.240849499978782,106
2.80653023884925,-0.588431074604561,0.236950579031926,107
2.43213783782763,-0.499747938035531,0.292280981943807,108
