"pAreaLogging","areaLogging","mean_logit_om","var_logit_om","mean_logit_mort","var_logit_mort","longitude","latitude"
0.357171717171718,419424.029750371,1.60872455083371,4.26867234270482,-3.54656842205896,0.155655660951198,-64.5,-17.5
0.343526170798898,405545.32274762,2.06291852721614,4.30837789087532,-3.5982527727681,0.191683488722722,-67.5,-16.5
0.280912151821243,331627.162521965,1.92915206317755,4.28091059520842,-3.60235862947224,0.175474325351165,-66.5,-16.5
0.214625038261402,253372.778583423,1.78362877992871,4.24815578623481,-3.60830589176609,0.15468210518554,-65.5,-16.5
0.57887358432813,683381.630111239,1.62142031753283,4.20870779492988,-3.6292544444091,0.137609195447174,-64.5,-16.5
0.41872053872054,494315.04918991,1.47863213242634,4.16200258079152,-3.56774917883964,0.14735138833737,-63.5,-16.5
0.261230486685032,309929.974261294,2.15551539861996,4.26688893456648,-3.6208353655754,0.187600008867596,-68.5,-15.5
0.533884297520661,633412.848128222,2.05952268997595,4.24408472603167,-3.62844470165264,0.180823742040631,-67.5,-15.5
0.537502295684114,637705.325977595,1.96230469269175,4.21818317288676,-3.63671360379431,0.171443545306186,-66.5,-15.5
0.186519742883379,221291.396133134,1.85449655539222,4.18725582958378,-3.64371904548599,0.159623131596527,-65.5,-15.5
0.324426078971533,384906.706645512,1.73237903530701,4.1499375068452,-3.63423800241044,0.150067765935813,-64.5,-15.5
0.565509641873276,670933.898161821,1.62315668827356,4.10502400991272,-3.58592196156637,0.144031635684755,-63.5,-15.5
0.0592286501377411,70270.2592092713,1.00289419549755,3.89367773155662,-3.54771035532475,0.179674283582664,-59.5,-15.5
0.0197979797979798,23488.7874194091,1.57535723367943,3.90611499516016,-3.60738456803895,0.205417273214218,-58.5,-15.5
0.0979247015610653,116180.161892662,2.14264627115579,3.94612494979823,-3.66442165226692,0.229404164561155,-57.5,-15.5
0.148741965105602,177293.032274947,2.13353397086337,4.1936242415503,-3.6476275830051,0.170393790618482,-68.5,-14.5
0.499810223446587,595748.953659122,2.09376222159849,4.17322350805871,-3.65674289314963,0.170837307501493,-67.5,-14.5
0.161891643709827,192966.795839445,2.05683242554127,4.15041852040417,-3.66864359339439,0.16888437757488,-66.5,-14.5
0.0619895928986842,73888.5148296545,2.00191177125007,4.12290487466958,-3.67433485107785,0.164391320045084,-65.5,-14.5
0.170725436179982,203496.237563638,1.91411162461428,4.09080928841492,-3.66048909109823,0.158879621087732,-64.5,-14.5
0.396339149066421,472416.573879267,1.81698702717638,4.05554167900125,-3.6193820125756,0.152017010180581,-63.5,-14.5
0.271319253137435,323399.069449957,1.68561065743703,4.01984664410366,-3.55856522080303,0.1422437012121,-62.5,-14.5
0.374410774410773,446279.04078428,1.52708417283002,3.98539762744713,-3.5998838816117,1.11022302462516e-16,-61.5,-14.5
0.122718089990817,146273.866114482,1.39558434510545,3.94277945658421,-3.50498706168341,0.137867984322637,-60.5,-14.5
0.0988674625038261,117845.103150199,1.45951986528206,3.90270332862063,-3.58119668111681,0.16843695107049,-59.5,-14.5
0.0597734925007654,71247.033260591,2.44191017746398,3.91878138216039,-3.71086505432106,0.217097948893192,-57.5,-14.5
0.279167431894705,334195.777941734,2.23696208007279,4.15644098737501,-3.66269138622316,0.150463799061533,-70.5,-13.5
0.0711723293541475,85201.5287564271,2.16832246737477,4.13212825061119,-3.66891964996689,0.145666296525568,-69.5,-13.5
0.346452402816039,414743.688019308,2.16135619148722,4.11249617917831,-3.66682188763035,0.151606256344526,-68.5,-13.5
0.41835322926232,500817.312244686,2.20894374118136,4.09625831324552,-3.68044257173099,0.159911176621761,-67.5,-13.5
0.046489133761861,55652.8822790562,2.25449916057984,4.07800133962564,-3.70459192473754,0.163592651147847,-66.5,-13.5
0.00737679828588919,8830.88268978967,2.24427821806287,4.05356197799247,-3.72135927773441,0.163955635433881,-65.5,-13.5
0.051043771043771,61105.311093333,2.18775703287961,4.02555862055925,-3.71640192249742,0.162834897293643,-64.5,-13.5
0.0923538414447502,110558.254156155,2.09043904576668,3.99879274962089,-3.68579536777003,0.159718321844342,-63.5,-13.5
0.389164370982551,465874.865219856,1.9526256436736,3.97482741627231,-3.63746325858573,0.153224494221322,-62.5,-13.5
0.244279155188247,292430.466365708,1.83734101437934,3.95421052946999,-3.5925723697773,0.146137690289283,-61.5,-13.5
0.258745026017753,309747.790677718,1.81673042716791,3.93514904445238,-3.60310694681646,0.152670070139918,-60.5,-13.5
0.138126721763086,166017.101174413,2.45148797151979,4.17389255834316,-3.55907988373953,0.174498624434622,-73.5,-12.5
0.100110192837466,120324.321034666,2.41319179452417,4.13453282198944,-3.63524100007999,0.155024984462756,-72.5,-12.5
0.0131680440771349,15826.9194976802,2.30240634941172,4.10046853766311,-3.69155266707849,0.134953653984808,-71.5,-12.5
0.205895316804407,247469.448380046,2.18543592981774,4.06927153751912,-3.68826146312394,0.130179001008984,-70.5,-12.5
0.483250688705235,580828.079138719,2.15657639119602,4.04197614170081,-3.6704156856836,0.12754415017446,-69.5,-12.5
0.441928374655647,531162.013769428,2.23591295867411,4.02294611086174,-3.66075916796335,0.137560639859783,-68.5,-12.5
0.627327823691461,753997.093726309,2.3736399583444,4.01422336935706,-3.69627038195623,0.149418768341604,-67.5,-12.5
0.409531680440772,492223.818519906,2.51179118617196,4.00379575732226,-3.74881291274128,0.154411441454271,-66.5,-12.5
0.23404958677686,281308.594251657,2.58708638821659,3.97994932223991,-3.79016134693376,0.156882771100363,-65.5,-12.5
