"psi","e","iter"
0.54930264064839,0.333870924848984,1
0.597262208066521,0.335646668556486,2
0.531502485168127,0.339051617452886,3
0.553308304267971,0.269915358741508,4
0.584953356281635,0.398150513699507,5
0.618464162270653,0.405550080858391,6
0.603488359469273,0.359197287870817,7
0.570485420646214,0.36361122314467,8
0.546727745402469,0.418454179627058,9
0.617246699482065,0.398233070596782,10
0.573659184803127,0.613672215268164,11
0.53273957015431,0.32145877006791,12
0.462138924390415,0.506097319092271,13
0.586145579114037,0.33311180367399,14
0.564262875378544,0.414305226269035,15
0.502240977078453,0.360618592730384,16
0.562122247594425,0.318841891483442,17
0.46652724916975,0.373622299237182,18
0.427993869149631,0.382216705678357,19
0.532198766120093,0.357985090545067,20
0.574684100935315,0.393691799603157,21
0.5878932548937,0.261011027843317,22
0.543981572576932,0.296534486076098,23
0.569270229521291,0.422978005352959,24
0.629094391064401,0.327766083124281,25
0.560402705212995,0.43042773727286,26
0.556050844092086,0.253181156118552,27
0.557162823703461,0.421207683638971,28
0.533795622207374,0.308950120834811,29
0.518083942875743,0.281160409458215,30
0.498328962565713,0.399860313545718,31
0.559995059760541,0.191448677338362,32
0.564775470042494,0.336620912597699,33
0.518428556655976,0.435098487409758,34
0.619080998304016,0.308952973248358,35
0.548757733805413,0.406311461358525,36
0.526098511205269,0.321844933101772,37
0.504479118500803,0.590082133040451,38
0.593498513385422,0.320523610711593,39
0.516693444472477,0.416256189197314,40
0.568089379458321,0.307499533542161,41
0.624926007588911,0.303171028982082,42
0.531335941307322,0.300279671675162,43
0.584119931406978,0.375855272906414,44
0.543583046448906,0.341952352659168,45
0.514680417195729,0.344472517473044,46
0.604064550052611,0.317858470662541,47
0.500708729642489,0.391816884369519,48
0.551429827959648,0.325236218856275,49
0.545163686255778,0.261976099198105,50
0.450594637541332,0.39658735916968,51
0.519737631945272,0.236146226505951,52
0.59455025566131,0.296462453730732,53
0.58414557459616,0.375299028903932,54
0.531716000355564,0.406467241760824,55
0.558797955721669,0.304611206884924,56
0.548686427806228,0.316763529120277,57
0.462138924390415,0.506097319092271,58
0.522658491505623,0.262526222337322,59
0.562504919562378,0.485373536325794,60
0.537891391192894,0.346510824918334,61
0.503507724394757,0.252550064572514,62
0.505609942188783,0.365193690021966,63
0.576792145212174,0.487018830787357,64
0.552585116423241,0.227021509267978,65
0.572116647099115,0.297662295345718,66
0.58590459333055,0.495027931816903,67
0.594885651785143,0.262768263855271,68
0.614220675278468,0.507447580051695,69
0.603788254328924,0.408471588309121,70
0.571068058261539,0.370502480609696,71
0.53957300151792,0.432868896766871,72
0.570634433875489,0.253507614791355,73
0.58445614061692,0.361585036725651,74
0.564351631610495,0.230112594377115,75
0.493074435112857,0.594340116627178,76
0.611179078392614,0.50947020171675,77
0.585957525269461,0.415251748358768,78
0.496688320733823,0.281850381502253,79
0.545528090980273,0.46742883338612,80
0.495678745187578,0.285479229736785,81
0.557832474986982,0.349083299658603,82
0.530975317812023,0.308851766515695,83
0.491727222788898,0.303218752251266,84
0.514357859208778,0.364088302165705,85
0.615754955725915,0.438040656573871,86
0.704127875704681,0.466673153659523,87
0.540226354438071,0.29492883419413,88
0.649993815404001,0.361327438929605,89
0.556461682368828,0.385329807184482,90
0.576236230949985,0.258377487011513,91
0.583967404264193,0.357202009025598,92
0.60285713261601,0.252835286809434,93
0.569832045087182,0.451964177947005,94
0.699697793540455,0.541634311769576,95
0.588802916607992,0.544001258012272,96
0.489687787810131,0.242365943166503,97
0.571219425601792,0.448482200396705,98
0.497779993363494,0.340493430596823,99
0.627371477221493,0.686555375883978,100
0.479180530432067,0.285859015052957,101
0.547039077115044,0.446610315745801,102
0.390888197400455,0.357546328034301,103
0.611198810550513,0.329127646659098,104
0.607620464396328,0.278967033688788,105
0.551208605818081,0.52243619471831,106
0.549873047511487,0.315323202464208,107
0.594197871798757,0.579697686091208,108
0.609546296975242,0.310917942932431,109
0.634515388644007,0.338133750481961,110
0.650097032109035,0.365816909594666,111
0.466248627259416,0.359934538887572,112
0.569354858428209,0.628769920199411,113
0.458433617665484,0.286710906106399,114
0.601072073079591,0.404761214762435,115
0.54718878369086,0.466664272904316,116
0.498778164620369,0.362377987465022,117
0.496233512354417,0.290345670903202,118
0.54085132789088,0.366209646173061,119
0.678591316864346,0.514016379989259,120
0.620328626833344,0.391234686067373,121
0.574096118644639,0.41003638559284,122
0.547864276929588,0.223447905275951,123
0.504326958452145,0.493918765431306,124
0.569935668960177,0.362359563150141,125
0.480900661226031,0.24321779719025,126
0.592560284698196,0.297783607284515,127
0.556119069185467,0.271969177837147,128
0.527609910893555,0.420124016296392,129
0.624774100975732,0.517975217109463,130
0.571256956766843,0.251098150142064,131
0.518178399459329,0.498580310893675,132
0.612912152116966,0.383533788853124,133
0.56358812847258,0.351354374593433,134
0.571583902270863,0.345665775520094,135
0.57770136523561,0.342785878725892,136
0.624179646963193,0.524673109966737,137
0.593794980498553,0.295563344559951,138
0.521166174176394,0.292974800858457,139
0.586473530027278,0.656905966040433,140
0.568462583061342,0.739249967621828,141
0.635078224590077,0.319114659817435,142
0.552008423897543,0.344213798934384,143
0.592928665875633,0.327070881762192,144
0.525959623144424,0.437925658781609,145
0.480900661226031,0.24321779719025,146
0.536629465171203,0.389626374822121,147
0.558567993997657,0.282837729813463,148
0.512217522120773,0.335664646662106,149
