Plot_code;Region;Latitude;Longitude;AGB;WP; WL;?;Contributors
MBT-01;W;-10,1;-65,9;102,75;2,13;1;1,62;Marisol Toledo, Roel Brienen, Guido Pardo, Juan Licona
MBT-04;W;-10,3;-65,5;115,98;2,65;1,33;1,18;Marisol Toledo, Roel Brienen, Guido Pardo, Juan Licona
MBT-05;W;-10;-65,6;140,96;3,36;0,68;1,04;Marisol Toledo, Roel Brienen, Guido Pardo, Juan Licona
MBT-06;W;-10;-65,6;115,24;3,04;1;1,4;Marisol Toledo, Roel Brienen, Guido Pardo, Juan Licona
MBT-08;W;-9,9;-65,8;90,75;1,49;1,13;1,76;Marisol Toledo, Roel Brienen, Guido Pardo, Juan Licona
MIN-01;W;-8,6;-72,9;105,4;2,94;2,23;2,27;Ted Feldpausch, Marcos Silveira, Jose Barroso
MNU-01;W;-11,9;-71,4;148,52;3,38;2,37;2,27;"John Terborgh; Roel Brienen; Fernando Cornejo Valverde"
MNU-03;W;-11,9;-71,4;112,07;3,43;3,53;3,28;"John Terborgh; Roel Brienen; Fernando Cornejo Valverde"
MNU-04;W;-11,9;-71,4;92,57;1,17;1,05;2,1;"John Terborgh; Roel Brienen; Fernando Cornejo Valverde"
MNU-05;W;-11,9;-71,4;172,18;2,9;4,21;2,49;"John Terborgh; Roel Brienen; Fernando Cornejo Valverde"
MNU-06;W;-11,9;-71,4;139,33;2,94;3,9;2,19;"John Terborgh; Roel Brienen; Fernando Cornejo Valverde"
MNU-09;W;-12;-71,2;148,51;3,19;3,02;2,47;"John Terborgh; Roel Brienen; Fernando Cornejo Valverde"
MTH-01;W;-8,9;-72,8;78,43;2,62;1,95;3,25;Ted Feldpausch, Marcos Silveira, Jose Barroso
NOU-01;GuSh;4,1;-52,7;215,34;5,3;2,38;1,41;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-02;GuSh;4,1;-52,7;220,03;4,35;1,95;1,03;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-03;GuSh;4,1;-52,7;295,2;4,78;3,94;1,35;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-04;GuSh;4,1;-52,7;196,49;4,84;2,53;1,77;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-05;GuSh;4,1;-52,7;158,21;3,7;4,77;1,84;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-06;GuSh;4,1;-52,7;151,88;4,13;2,56;2,05;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-07;GuSh;4,1;-52,7;141,21;3,47;2,35;1,56;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-08;GuSh;4,1;-52,7;165,06;3,85;2,57;1,68;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-09;GuSh;4,1;-52,7;132,01;3,79;3,7;1,42;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-10;GuSh;4,1;-52,7;145,13;3,39;3,36;1,79;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-11;GuSh;4,1;-52,7;252,92;4,17;1,63;1,22;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-12;GuSh;4,1;-52,7;205,57;3,6;2,26;1,36;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-13;GuSh;4,1;-52,7;217,41;3,18;1,8;1,05;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-14;GuSh;4,1;-52,7;208,95;2,79;4,44;1,6;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-15;GuSh;4,1;-52,7;200,73;2,57;2,35;1,36;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-16;GuSh;4,1;-52,7;152,96;3,04;3,86;1,84;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-17;GuSh;4,1;-52,7;231,81;4,06;1,03;0,77;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-18;GuSh;4,1;-52,7;220,91;3,29;0,81;0,45;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-19;GuSh;4,1;-52,7;203,15;3,24;3,05;0,83;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-20;GuSh;4,1;-52,7;225,89;4,23;1,16;0,6;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-21;GuSh;4,1;-52,7;203,26;3,13;0,78;0,6;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
NOU-22;GuSh;4,1;-52,7;231,78;3,08;3,99;1,43;"Jerome Chave; Ted Feldpausch; Chris Baraloto"
PAR-20;GuSh;5,3;-52,9;239,93;2,22;16,69;4,94;Damien Bonal
PAR-21;GuSh;5,3;-52,9;236,5;2,16;3,45;1,37;Damien Bonal
PAR-22;GuSh;5,3;-52,9;149,31;3,32;3,9;3,28;Damien Bonal
PAR-23;GuSh;5,3;-52,9;189,84;3,11;0,99;0,85;Damien Bonal
PAR-24;GuSh;5,3;-52,9;215,02;4,2;7,43;4,36;Damien Bonal
PAR-26;GuSh;5,3;-52,9;192,3;2,48;4,25;2,62;Damien Bonal
PAR-27;GuSh;5,3;-52,9;181,93;2,29;3,42;1,16;Damien Bonal
PAR-28;GuSh;5,3;-52,9;228,39;2,5;1,13;0,86;Damien Bonal
PAR-29;GuSh;5,3;-52,9;257,82;2,95;0,72;0,63;Damien Bonal
PNY-04;W;-10,3;-75,2;107,4;2,8;4,04;4,66;Abel Monteagudo-Mendoza
POR-01;W;-10,8;-68,8;152,27;3,13;2,06;2,31;"Ted Feldpausch; Marcos Silveira; Tim Baker, Juliana Stropp"
POR-02;W;-10,8;-68,8;103,36;2,72;2,21;2,72;"Ted Feldpausch; Marcos Silveira; Tim Baker, Juliana Stropp"
PTB-01;EC;-1,2;-56,4;213,27;2,16;4,38;1,76;Rafael Salomao
PTB-02;EC;-1,5;-56,4;115,79;3,21;1,7;2,11;Rafael Salomao
RET-05;W;-11;-65,7;119,59;2,8;2,2;2,11;Marisol Toledo,Roel Brienen, Eric Arets, Laurens Poorter, Marielos Pena Claros, Vincent Vos, Rene Boot
RET-06;W;-11;-65,7;141,46;2,67;1,92;2,51;Marisol Toledo,Roel Brienen, Eric Arets, Laurens Poorter, Marielos Pena Claros, Vincent Vos, Rene Boot
RET-08;W;-11;-65,7;134,75;2,36;1,27;2,17;Marisol Toledo,Roel Brienen, Eric Arets, Laurens Poorter, Marielos Pena Claros, Vincent Vos, Rene Boot
RET-09;W;-11;-65,7;136,95;2,49;1,2;1,89;Marisol Toledo,Roel Brienen, Eric Arets, Laurens Poorter, Marielos Pena Claros, Vincent Vos, Rene Boot
RFH-01;W;-9,8;-67,7;137,67;2,43;6,01;2,8;Ted Feldpausch
RIO-01;GuSh;8,1;-61,7;222,48;3,92;4,55;1,52;Emilio Vilanova Torre
RIO-02;GuSh;8,1;-61,7;222,09;3,99;2,87;1,9;Emilio Vilanova Torre
RST-01;W;-9;-72,3;108,49;3,19;1,96;1,66;Ted Feldpausch, Marcos Silveira, Jose Barroso
SCR-05;GuSh;1,9;-67;191,71;3,16;1,87;0,74;Gerardo Aymard
SCT-01;W;-17,1;-64,8;98,55;2,86;2,42;2,75;"Luzmilla Arroyo, Casimiro Mendoza, Oliver Phillips; Roel Brienen"
SCT-06;W;-17,1;-64,8;94,54;3,53;3,28;4,41;"Luzmilla Arroyo, Casimiro Mendoza, Oliver Phillips; Roel Brienen"
SUC-01;W;-3,2;-72,9;133,45;3,45;3,19;1,98;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
SUC-02;W;-3,2;-72,9;135,35;3,16;3,38;2,22;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
SUC-03;W;-3,2;-72,9;144,43;2,66;2,12;2,45;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
SUC-04;W;-3,2;-72,9;141,05;3,19;2,32;1,59;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
