"source","idPlot","longitude","latitude","volume","omegaTot"
"RadamBrasil","NA21YD/RB/A.39",-57.9641666666667,0.318916666666667,89.79,0.189887515313509
"RadamBrasil","NA21ZA/RB/A.52",-56.7063888888889,1.69269444444444,103.19,0.924314371547631
"RadamBrasil","NA22YD/GB/A.8",-52.3094444444444,0.693666666666667,452.95,0.849821172314825
"RadamBrasil","SA21VD/RB/A.26",-58.015,-1.31888888888889,47.64,0.860621326616289
"RadamBrasil","SA21YC/RB/A.110",-59.4694444444444,-3.78611111111111,53.79,0.88083286856293
"RadamBrasil","SA21YC/RB/A.88",-58.8580555555556,-3.09472222222222,35.18,0.943433769187038
"RadamBrasil","SD21VA/RB/A.52",-58.5972222222222,-12.1436111111111,28.5806,0.818306823509653
"RadamBrasil","SD21VD/RB/A.26",-57.2025,-13.3066666666667,18.588,0.5
"RadamBrasil","SD21YC/RB/A.102",-59.4302777777778,-15.3494444444444,8.7182,0.322428941754032
"RadamBrasil","SD21YC/RB/A.111",-59.0938888888889,-15.9952777777778,100.4508,0.549487908508444
"RadamBrasil","SD21YC/RB/A.45",-59.6027777777778,-15.4477777777778,4.8205,0
"RadamBrasil","SD21YC/RB/A.47",-59.5886111111111,-15.0719444444444,44.6155,0.409801526375363
"RadamBrasil","SD21YC/RB/A.49",-59.5258333333333,-15.1455555555556,19.9198,0
"RadamBrasil","SD21YC/RB/A.52",-59.3711111111111,-15.9236111111111,23.013,0.381280146004432
"RadamBrasil","SD21YC/RB/A.53",-59.3052777777778,-15.2786111111111,110.7236,0.468409625409578
"RadamBrasil","SD21YC/RB/A.55",-59.2869444444444,-15.4188888888889,1.4261,1
"RadamBrasil","SD21YC/RB/A.57",-59.3119444444444,-15.6966666666667,2.8522,0.5
"RadamBrasil","SD21YC/RB/A.66",-59.06,-15.3658333333333,6.8491,1
"RadamBrasil","SD21YC/RB/A.72",-59.2930555555556,-15.0416666666667,67.5604,0.89891267665674
"RadamBrasil","SD21YC/RB/A.73",-59.5041666666667,-15.0513888888889,77.9832,0.399342422470481
"RadamBrasil","SD21YC/RB/A.76",-59.2241666666667,-15.3683333333333,11.3358,0
"RadamBrasil","SD21YC/RB/A.77",-59.1030555555556,-15.1986111111111,119.997182509097,0.54918622772667
"RadamBrasil","SD21YC/RB/A.80",-58.6347222222222,-15.1875,56.934876374962,0.294390733188119
"RadamBrasil","SD21YD/RB/A.45",-58.0605555555556,-15.1213888888889,55.1207,0.490088115716963
"RadamBrasil","SD21YD/RB/A.81",-58.4397222222222,-15.3719444444444,164.7614,0.459639211611458
"RadamBrasil","NA19YB/RB/A.89",-69.4816666666667,1.50783333333333,61.82,0.925428663862828
"RadamBrasil","NA19ZD/RB/A.77",-66.1263888888889,0.627833333333333,130.62,0.809447251569438
"RadamBrasil","NA20XC/RB/A.12",-62.6861111111111,2.27308333333333,54.66,0.955177460665935
"RadamBrasil","NA20XC/RB/A.52",-62.8127777777778,2.69058333333333,60.79,0.896035532159895
"RadamBrasil","NA20XC/RB/A.53",-62.8630555555556,2.58166666666667,92.54,0.740652690728334
"RadamBrasil","NA21YC/RB/A.45",-58.7283333333333,0.529333333333333,116.7,0.852784918594687
"RadamBrasil","NA22VB/RB/A.9",-51.2386111111111,3.19586111111111,46.7214,0.959618076513118
"RadamBrasil","NA22VD/RB/A.15",-51.6413888888889,2.39919444444444,128.4611,0.851578415567047
"RadamBrasil","NA22YC/RB/A.30",-53.155,0.363055555555556,105.7413,0.981034846365611
"RadamBrasil","NA22YD/GB/A.10",-52.3094444444444,0.693805555555556,250.432507007244,0.889161353964336
"RadamBrasil","NA22YD/GB/A.12",-52.3094444444444,0.69375,292.7156,0.858720546496326
"RadamBrasil","NA22YD/GB/A.14",-52.3094444444444,0.693722222222222,236.4088,0.714683632758171
"RadamBrasil","NA22YD/GB/A.15",-52.3094444444444,0.693694444444445,171.4185,0.819038201827691
"RadamBrasil","NA22YD/GB/A.7",-52.3094444444444,0.693694444444445,390.7903,0.897452162963103
"RadamBrasil","NA22YD/GB/A.9",-52.3094444444444,0.693833333333333,220.3602,0.51739288673726
"RadamBrasil","SA19VD/RB/A.166",-69.3861111111111,-1.13027777777778,65.75,0.855209125475285
"RadamBrasil","SA19XD/RB/A.180",-66.3577777777778,-1.22527777777778,178.97,0.975917751578477
"RadamBrasil","SA19YB/RB/A.185",-69.2727777777778,-2.19888888888889,43.93,1
"RadamBrasil","SA19ZC/RB/A.35",-67.6655555555556,-3.95638888888889,140.37,0.976205741967657
"RadamBrasil","SA20VA/RB/A.214",-65.8875,-0.250555555555556,41.97,0.813199904693829
"RadamBrasil","SA20VA/RB/A.229",-65.2755555555556,-0.639166666666667,60.67,0.933904730509313
"RadamBrasil","SA20VA/RB/A.231",-64.9316666666667,-0.532777777777778,83.06,0.791716831206357
"RadamBrasil","SA20VC/RB/A.189",-65.8211111111111,-1.68194444444444,130.69,0.977274466294284
"RadamBrasil","SA20VC/RB/A.33",-65.6194444444444,-1.79472222222222,128.09,0.840112420954017
"RadamBrasil","SA20VC/RB/A.34",-65.2836111111111,-1.86805555555556,82.13,0.922805308657007
"RadamBrasil","SA20XA/RB/A.264",-62.9527777777778,-0.818888888888889,58.35,0.819194515852614
"RadamBrasil","SA20XC/RB/A.138",-62.4322222222222,-1.0625,125.45,0.879473893981666
"RadamBrasil","SA20YA/RB/A.199",-65.1536111111111,-2.84444444444444,164.61,0.880444687443047
"RadamBrasil","SA20YA/RB/A.200",-65.8969444444445,-2.51194444444444,183.99,0.929996195445404
