"source","idPlot","year","volume","volGain","pRecruitment","volMort"
"TmFO","bsl_1",1993,90.7724518224133,NA,NA,NA
"TmFO","bsl_1",1994,75.1377363691074,1.32028642740563,0.312287385055129,16.9550018807115
"TmFO","bsl_1",1995,76.4190770747332,3.89703688809154,0.544607038637774,2.61569618246573
"TmFO","bsl_1",1997,84.9142919237139,5.17424563788622,0.644953217940978,0.926638213395834
"TmFO","bsl_1",1999,86.3541006013535,3.70937409845333,0.542575731786479,2.98946975963357
"TmFO","bsl_1",2001,90.6144726011982,3.23839148817174,0.577039841060014,1.10820548824936
"TmFO","bsl_1",2008,107.531450724884,4.45600886140415,0.549395373588703,2.03929770087758
"TmFO","chb_1",2001,81.1351483486507,NA,NA,NA
"TmFO","chb_1",2004,71.9805586091417,1.452648546971,0.431052037299096,4.50417846014067
"TmFO","chb_1",2007,75.9883507376677,2.40386714422103,0.497729649111188,1.06793643471238
"TmFO","chb_1",2011,78.1621651921395,1.34405956402837,0.590226136651007,0.800605950410421
"TmFO","cum_1",2002,89.8147759120652,NA,NA,NA
"TmFO","cum_1",2007,77.5293538006922,2.16803744369778,0.534403061159592,4.62512186597238
"TmFO","cum_1",2011,71.979712818307,1.21817549286359,0.505587167251826,2.60558573845987
"TmFO","eco_2",2004,111.761764086322,NA,NA,NA
"TmFO","eco_2",2005,71.220839754016,1.25681908502402,0.678696285343528,41.7977434173303
"TmFO","eco_2",2006,70.6985536496474,2.56115654957828,0.518775428429488,3.08344265394688
"TmFO","eco_2",2008,71.0240600629426,1.37124366278411,0.564740039528731,1.20849045613653
"TmFO","eco_2",2010,72.9335737264921,2.18215950466901,0.613361081822961,1.22740267289424
"TmFO","eco_2",2012,74.4533127237315,1.87391620315552,0.533769179005709,1.1140467045358
"TmFO","inp_1I",2002,24.0895676574745,NA,NA,NA
"TmFO","inp_1I",2003,12.6074896719741,0.955793627259871,0.834018917088234,12.4378716127602
"TmFO","inp_1I",2004,11.9866133761074,0.0667718984053135,0,0.687648194272037
"TmFO","inp_1I",2006,12.0144250571272,0.209893834576544,0.704953607190699,0.195987994066637
"TmFO","inp_1I",2009,11.7729421233475,0.233156331008024,0.558176304256966,0.313650642267917
"TmFO","inp_1I",2012,11.1927154999939,0.252110009574352,0.707924480314815,0.445518884025556
"TmFO","inp_1M",2002,30.0356155365613,NA,NA,NA
"TmFO","inp_1M",2003,22.936130018356,0.806174730483744,0.778884022445797,7.90566024868905
"TmFO","inp_1M",2004,22.9443475363691,0.152137308403788,1.37534606940902,0.143919790390715
"TmFO","inp_1M",2006,22.1189814318809,0.253040315403013,0.542008145859208,0.66572336764709
"TmFO","inp_1M",2009,22.8642079789385,0.660798127086888,0.60521123402683,0.41238927806769
"TmFO","inp_1M",2012,24.7552326568401,0.780366735027118,0.728792452485718,0.150025175726574
"TmFO","inp_1N",2002,22.9152486642111,NA,NA,NA
"TmFO","inp_1N",2003,16.6047626763896,0.917789536834298,0.77988219859601,7.22827552465578
"TmFO","inp_1N",2004,16.55944288729,0.0251130138514397,0,0.0704328029510655
"TmFO","inp_1N",2006,16.466749559854,0.37140391793307,0.860806783880081,0.417750581651058
"TmFO","inp_1N",2009,17.2553033310428,0.450096611772174,0.58466251596345,0.187245354709247
"TmFO","inp_1N",2012,17.9238701256715,0.599180054713176,0.787759037688461,0.376324456503599
"TmFO","inp_1T",2002,44.7773366090258,NA,NA,NA
"TmFO","inp_1T",2003,45.3563110661229,1.35254558333676,0.688411728291739,0.773571126239676
"TmFO","inp_1T",2004,45.4454462147937,0.434224683774903,0.743303542304758,0.345089535104054
"TmFO","inp_1T",2006,45.2800387481975,0.667558964641599,0.594883900303738,0.750262697939706
"TmFO","inp_1T",2009,48.0141471281907,1.53275900301979,0.619392317986608,0.62138954302205
"TmFO","inp_1T",2012,49.8991951698307,1.07589021721307,0.664110383806918,0.447540869999732
"TmFO","inp_2I",2003,37.93115051952,NA,NA,NA
"TmFO","inp_2I",2004,27.3897059982292,0.555214750012238,0.686200772378478,11.096659271303
"TmFO","inp_2I",2005,27.3390963705617,0.957884226644054,0.638907999668611,1.00849385431154
"TmFO","inp_2I",2007,28.1020424742753,1.11472265828697,0.622188481974837,0.733249606430178
"TmFO","inp_2I",2011,29.5594716533741,0.931391922035124,0.755708057000699,0.567034627260421
"TmFO","inp_2I",2013,29.7540664452003,1.22511399635002,0.644504165103944,1.1278166004369
"TmFO","inp_2M",2003,15.9084640795273,NA,NA,NA
"TmFO","inp_2M",2004,11.4952245039118,0.328107982533449,0.611129818496727,4.74134755814893
"TmFO","inp_2M",2005,11.4780506429583,0.480938852655589,0.948304286623359,0.498112713609127
"TmFO","inp_2M",2007,12.2182027438436,0.76481962208743,0.749739547565472,0.394743571644741
"TmFO","inp_2M",2011,13.5914843294584,0.475245538149882,0.72602923952002,0.131925141746201
"TmFO","inp_2M",2013,14.4600315155053,0.792545697508251,0.700127575548006,0.358272104484772
"TmFO","inp_2N",2003,23.1203235407359,NA,NA,NA
"TmFO","inp_2N",2004,18.8021762254392,0.528337494967152,1.0409589926028,4.84648481026393
"TmFO","inp_2N",2005,19.0827030483302,0.866681131078326,0.712861423100345,0.586154308187249
"TmFO","inp_2N",2007,20.6068502449235,1.06530362422887,0.729918930720487,0.303230025932258
"TmFO","inp_2N",2011,21.4948284438913,0.589852399771612,0.713849549932471,0.367857850029647
"TmFO","inp_2N",2013,22.4775324138091,1.51728637320835,0.770240076911491,1.02593438824949
"TmFO","inp_2T",2003,20.2583501817079,NA,NA,NA
