"lambda","sigmaVmax","betaG","betaM","theta","sigmaV","iter"
1.42285792329601,48.681736129061,0.00315318704290103,0.00162848212620148,0.020618465739607,0.0977182856596198,1
1.41378100262021,52.5999819070906,0.00372024074036094,0.0020086502723044,0.0229669731071328,0.0950136514513639,2
1.43653182132012,41.7968715932874,0.00326683245625306,0.00179671794088312,0.0209122817826413,0.0901047165662571,3
1.42476682801129,53.6685376945285,0.00316349349255133,0.00157300856354616,0.0199039531451675,0.101075692375839,4
1.41883311028529,44.248844756849,0.00329710279458377,0.00175760565577694,0.0208404060740881,0.090310455209528,5
1.41430131016142,44.0993915059202,0.00355747217546054,0.00211509193536752,0.0215084510157498,0.0941803848490277,6
1.41429961973469,44.8431030700337,0.00333793731658716,0.0017034842111286,0.0203993336786885,0.0991586849735821,7
1.41100110743189,41.3915870416237,0.00328673506019622,0.00168191024289263,0.0206102457558668,0.0963058380038808,8
1.45156658193625,48.0662619252366,0.00288969745697812,0.00157986564471124,0.0206652437436418,0.109312972421423,9
1.44467652034283,44.7738955677291,0.00315809497151826,0.00160990985566656,0.0223385699463706,0.118826985174245,10
1.46399320966552,53.1238082712857,0.00283512264553491,0.00145145440478839,0.0200214876068856,0.0909087393468999,11
1.41319358759514,43.9579707404302,0.00341334100419308,0.00170662290339175,0.0206688577267714,0.0926409178898797,12
1.44410997219512,45.1353281260495,0.00322237676117111,0.00184516381758529,0.0211200956825587,0.107396902342462,13
1.44129568678892,47.8812016611232,0.00307305167180416,0.00184539388539435,0.0214512119487555,0.108551973943125,14
1.40222991136371,42.0219398253976,0.00339352355193134,0.001871064403495,0.0198345163758614,0.0854795887997742,15
1.41032634016567,35.675217450343,0.00347507364099008,0.00169845431700501,0.0212550387531341,0.104663746467068,16
1.40812054944729,55.9212724121505,0.00334902067898306,0.00184605747063889,0.0201773119557701,0.0845374089089156,17
1.45813569484037,36.5838147921345,0.00297405521043257,0.00177646982902897,0.0218617257464714,0.100420713588051,18
1.44918617098685,48.43002808497,0.00294479779968392,0.00145497725641554,0.0197820972166678,0.103176667323619,19
1.41594453273874,41.5243438409394,0.00349625115436823,0.00182471448645489,0.0213658327953308,0.0996662162997086,20
1.42068037247551,41.7599770564992,0.00340484800366252,0.00189182479324074,0.0209331222916006,0.0914493737492786,21
1.45175137117258,42.7318648317238,0.00301993586925038,0.00157359774590355,0.0203222674358204,0.0876636572065909,22
1.43431167551002,42.470616700557,0.00317191433918047,0.00168861471331832,0.020557215132893,0.103063471648094,23
1.41302017048824,47.8824079218775,0.00343817371630216,0.00177103208429175,0.0204578732592996,0.0928850339592872,24
1.43918711224447,48.4107154679699,0.00299312150092652,0.00164196672252045,0.0205931306251285,0.0960384412743015,25
1.43543837934747,33.6850288476809,0.00323020834907735,0.0019806767505452,0.0225453203568106,0.103093014099793,26
1.41574495896989,39.6270019013516,0.00348075033162814,0.00194225340976556,0.020851927718135,0.0810268240974896,27
1.44021459072344,38.3848268198472,0.00307971192794352,0.00168327954778321,0.0216827413689824,0.105800681437476,28
1.4007737798238,40.438568986475,0.00384651912819825,0.00210274885585138,0.021782864107222,0.0937051093632697,29
1.44054456166628,49.0929409099674,0.00288481620649338,0.00161359430731829,0.020170769440235,0.0940415092068994,30
1.44034162692557,43.394009178461,0.00291290031495442,0.00156763234001066,0.0197293170591843,0.104342776436848,31
1.43531258062881,45.8811140493662,0.00308593277149637,0.00183757880735656,0.0215119311115848,0.105607545799682,32
1.38529280762498,41.1825306941351,0.00398323449993602,0.00218908376432572,0.0215786464089288,0.0925402460541947,33
1.42893690601358,41.974049272786,0.00315455294186775,0.00163513010986786,0.0199455064458664,0.0927749689069098,34
1.41007979771293,42.1379761046289,0.00365611852284392,0.00194745749356654,0.0221060967279513,0.0930763022703697,35
1.42628348957888,44.9547998000481,0.00315119165590834,0.00159483502236087,0.0203578871517738,0.104667104667674,36
1.40961797891739,51.7216098127165,0.00355309943001019,0.00188310767550339,0.0210435598003592,0.0880700925396474,37
1.47534402842996,49.5793037671562,0.00265188132091964,0.00145628920283657,0.0202481702248993,0.100629910825992,38
1.45071959136808,34.245502254519,0.0030129567875678,0.00162404424154228,0.0216017240153509,0.0990130426524595,39
1.41764500776151,42.5896247849814,0.00323079997575904,0.00184183156121924,0.0203982196753083,0.0935734343720006,40
1.43760319945709,47.7890392229396,0.0031177674992972,0.00154145232922408,0.0216259597320803,0.117958513790726,41
1.42557005987861,40.0496629110517,0.00343613429094448,0.00173736946490642,0.0225151044337686,0.105538445236148,42
1.43825924072168,49.4830643514293,0.003008251009464,0.00165449077045995,0.0204674965540873,0.101537489128273,43
1.42584859188576,48.9486449405802,0.00333316243516278,0.00185514130061895,0.0205266788393283,0.0874954400975246,44
1.41620743176553,43.9410500035538,0.00327085293984366,0.00158253622353709,0.0196953243977894,0.0916173829447053,45
1.44263007364203,37.2502239010916,0.00316195920619202,0.00163417562741614,0.0214173254520226,0.103680723542523,46
1.43450656046081,46.8937482627536,0.00326370092583271,0.00184765416731511,0.0205606327550503,0.0847505593250056,47
1.39287773668302,42.1816075645088,0.00389230467141258,0.00215816640464435,0.0219937571165613,0.0969917071970919,48
1.46465433138683,43.7188329883006,0.00274573158294694,0.00155046696003766,0.0200891839934125,0.104394700233245,49
1.42790427276338,39.3464072874783,0.00342206027266273,0.0019295389862487,0.0217779309261395,0.0994678458691522,50
1.41805462565469,42.0891029881419,0.00350089424544534,0.00195261262984728,0.0208018120653152,0.0842356497935641,51
1.4342406415455,49.8115187964382,0.00300744538525396,0.00139300819366291,0.0204954973943169,0.115171439302239,52
1.4201498369454,46.2845968229397,0.0033676307580417,0.00177609365432453,0.0205398332893088,0.102225471181552,53
1.43699819054842,49.8635133984419,0.00319751696037432,0.00172596164311087,0.0206426508512431,0.102834828043745,54
1.42112481063893,38.9269705861973,0.00324800129084752,0.00171949453417216,0.0212720490871918,0.105963528242275,55
1.42565572358107,47.2965848965194,0.00292942725034469,0.00133450513787279,0.0197270717579184,0.106674963642187,56
1.39829081852287,44.5134884020991,0.00357045995664988,0.00186867720550061,0.0208663477978091,0.0965227793310143,57
1.42315507766238,58.7170594479761,0.00303102927362251,0.00147933531264077,0.0189822159948841,0.0926895927140881,58
1.4278991603517,48.364915410585,0.00321070792411725,0.00163674811657997,0.0206549960718497,0.10385707958493,59
1.40538749682003,43.6368010570989,0.00346561737320377,0.00171972767380622,0.0204531401142541,0.0850461575282288,60
1.42145294411055,47.4026644717263,0.00337564986493991,0.00184384176753554,0.0214783945338481,0.0975703785429736,61
1.4362519330022,54.3979849055348,0.00309445470889535,0.0018098775317272,0.0210472686756591,0.0913791513265636,62
1.4309699154559,39.863285963027,0.00336260047144369,0.00189530117422686,0.0234896687235208,0.107138519244757,63
1.39911602596528,49.5850816158695,0.00384459700396157,0.0022767580156619,0.0221080143333919,0.0920362841094962,64
1.46344426287048,53.5249595725467,0.0026586287552908,0.00133379952739421,0.0201807024271655,0.117645118958742,65
1.43007143865662,48.4535692872271,0.00315651641647757,0.00182880780776411,0.0206826233425748,0.114507608360729,66
1.40201427023759,51.540751485508,0.00356076345443205,0.00178788424795111,0.0200589504282019,0.091402023802903,67
1.41699779267607,48.2727668500934,0.00325162748374197,0.00160695427425969,0.0203174535979527,0.0969722830389707,68
1.42672036849135,51.4290693764855,0.00335003654172447,0.00178503463149073,0.019968808453242,0.0883225829214374,69
1.43299366682121,52.4893160305067,0.00302730699781118,0.00163447259183139,0.0196199832102472,0.105807015205755,70
1.42657446711663,54.7767410841796,0.00320642123012757,0.00169273120862703,0.0198300328058927,0.0888127919438695,71
1.46475508996565,48.4930942011085,0.00276524378159165,0.00158956094307332,0.0200917725758989,0.106873529371624,72
1.40006271782988,48.2866556738344,0.00385436669820979,0.00194885907127299,0.0212102161550814,0.0803548097779978,73
1.41407252015607,47.2335203174857,0.00333003032102877,0.00187954360763988,0.0205001017053238,0.0821263538542359,74
1.40900636332965,50.2688303526106,0.00352015093119555,0.00186333986849048,0.0206221831562154,0.0880832388996586,75
1.41512265629822,47.6817242875361,0.00340030538733181,0.00173893063809061,0.0202409176524188,0.0938021380432578,76
1.44450557787485,40.1710228520877,0.00326642094028712,0.00189220177466431,0.0212544255708369,0.100656473127942,77
1.44238252406312,52.592552015808,0.00320266702100676,0.00178473747107837,0.0212171304074635,0.0961585741252203,78
1.44988892042409,46.9374265521559,0.00314870176499129,0.00182805854419747,0.0211715679251406,0.104541363347222,79
1.42677830980607,40.4720769397495,0.00327854699798212,0.00166416248975077,0.0203282957750809,0.0934789681362837,80
1.41732956780754,42.884890359713,0.00351220268898954,0.00192410580734543,0.021551269074972,0.0978083904521044,81
1.43971104518026,44.5899709172188,0.00290522872164961,0.00156539695161209,0.0197140847364331,0.0964848718962064,82
1.42466668100602,41.3547179150969,0.00316292754669492,0.0015267681618753,0.0209067178408724,0.0993006690530408,83
1.40126902964745,43.7156629281902,0.00354428761731916,0.00187507540448387,0.0204082857181487,0.0926397319713124,84
1.43567690493961,46.1623179996865,0.00309322602274,0.00162469237362867,0.0207145865394804,0.0934211180245139,85
1.424181800564,43.1404861740122,0.00341308471494766,0.00165629798780913,0.0209563153481805,0.0867550145334024,86
1.42343481612666,53.9804296949715,0.00338034118375661,0.00208390195404853,0.0208442201024061,0.0914724538422069,87
1.43247970181169,42.2476588716999,0.00308239127239592,0.00157666744689983,0.0212342016807319,0.108292754110368,88
1.43983724104876,37.4898214776393,0.0030652972405025,0.00162478634363577,0.0209749314022527,0.101915377832646,89
1.43076562952959,45.0461272406482,0.00342704879562657,0.00202602229819345,0.0219235721571704,0.097906523370945,90
1.40862873068871,42.0198618828225,0.00361393295783694,0.00207921873175661,0.0211821279160189,0.0778720034722799,91
1.43566289005509,45.85167607509,0.00310333752527101,0.00148109187223428,0.0210948395532789,0.105615740690456,92
1.41736938091893,39.4228231296895,0.00342461964089743,0.00174050161785863,0.0211394082176851,0.0955693443144541,93
1.42765462916957,43.0984869856853,0.00312142034191598,0.0016191546838389,0.0211294040054827,0.115932447359583,94
1.42690658166184,49.1695305979525,0.00328796629497929,0.00188320245046415,0.0214005823415794,0.0943500004647789,95
1.43151635854877,42.3780406424915,0.00310829967330725,0.00162885758253708,0.0202124783036406,0.100460699125675,96
1.40337902663655,44.7761539528379,0.00352514750467656,0.00174559756680054,0.0210280342417331,0.0934481011673869,97
1.4277484851217,47.0493604972403,0.00349400530921434,0.00189540842336909,0.021689981276896,0.0953983927920756,98
1.43010320740775,56.3196512866952,0.00320584573459,0.00166497936901424,0.0216390881238681,0.106958252396398,99
1.43278250163038,47.4463814453197,0.00320511725370029,0.00162592174987119,0.0208843593592991,0.0921608696395361,100
1.41605183577649,45.3308870699201,0.00345870163736544,0.00173107780834534,0.0206271111865004,0.10422151968617,101
1.44023826667625,44.6157748771812,0.00319494191319103,0.00166606729229655,0.0208492328545908,0.0946141855711684,102
1.45026917928849,50.333103927005,0.00314918222272922,0.00182839097000966,0.0225542161446195,0.108905408909441,103
1.42596898751017,58.7157644950709,0.00327167856783572,0.0017636895600241,0.0199608231838905,0.0879244655392263,104
1.41248896918107,47.2685207504037,0.00366808422619437,0.00204988954155416,0.0218462349542933,0.0897127391793778,105
1.45747906850078,49.9832528926731,0.00286669438680387,0.00168780076119563,0.0200487287251541,0.0948443151417233,106
1.41282416525779,41.3317058654959,0.00359113975725314,0.00182603415778935,0.021234250039972,0.0926381479062104,107
1.38782316686039,49.4872059574562,0.00410210125269451,0.00224901688338087,0.0221734124365088,0.087766100695705,108
1.4294754553754,41.1510394064336,0.00345747333546762,0.00191690360193829,0.0224319571014935,0.109995305475877,109
1.42418467810283,47.9595192962442,0.00332306103356583,0.00168862918490151,0.0204814215395309,0.0917153138331705,110
1.4393195468986,60.8532202018362,0.00298585232115768,0.00156844163339149,0.0193698670744427,0.0966782645411364,111
1.4278205275761,36.9638576694309,0.00332525370154431,0.00177928048280254,0.0216920767695514,0.0961893132443992,112
1.40807743195946,54.6839557034919,0.00328599241947792,0.00171582222554076,0.0209532074105335,0.0972126246439742,113
1.41532943286495,43.0190400965081,0.00362303157126568,0.00203039989706205,0.0206751568556504,0.0888157638298545,114
1.41383882695818,61.3152544958633,0.0035206131483145,0.00215435451638801,0.0212010126884789,0.0912966867056707,115
1.42858360429815,46.1720759437946,0.00323838758753351,0.00155505145517022,0.0201782185992203,0.0967385966104993,116
1.41988750376198,42.2649795109938,0.00352761816587195,0.00182052564446335,0.0222777196690039,0.0905746462037542,117
1.41738406770089,53.163270858578,0.00348595775887179,0.00199343588655642,0.0207876636128438,0.0916935984195171,118
1.42142243680387,44.3624374763085,0.00330552778993545,0.00186541459415578,0.0214537291727022,0.105736274803842,119
1.4458388203596,46.8561183102865,0.00305252433738122,0.00153397364305373,0.020259765792817,0.089688833189431,120
1.44910335833888,42.1783151058355,0.00313249194594481,0.00171635372859877,0.0218047810642078,0.106707861727928,121
1.41764772509689,45.6584612735227,0.00328974681967234,0.00150977433654664,0.0202949170761048,0.0946587843946927,122
1.44343111851293,44.8560581900731,0.00305815564070859,0.00146103291864507,0.0210063518880224,0.105044876493372,123
1.45166717103214,42.9291556667273,0.00277423479515596,0.00140927914696691,0.0202451798006991,0.112215863414376,124
1.43186204420502,41.3112743978856,0.00312954228012429,0.00156416384768067,0.0204413854900141,0.0984861266198686,125
1.41978592326337,43.9628552700338,0.00339834742268885,0.00181680969823646,0.020397465179686,0.0920178863346701,126
1.42794905143559,49.030154810197,0.00331417868770603,0.00187408789703469,0.0203297210387225,0.089376615632106,127
1.40801512411431,43.0939045340781,0.00320645890391815,0.00165769395718111,0.0203463522736661,0.100057318448357,128
1.42183042382446,56.2952143188692,0.0032863218476316,0.00165979955429533,0.0209285285378184,0.0952110529914026,129
1.43404100348806,36.420839995106,0.00326555251022032,0.00173636498109018,0.022425390452998,0.102197330844961,130
1.43194089109566,45.2230980724776,0.00314710218995032,0.00174968143294372,0.0205351299473631,0.0910912381040419,131
1.40525161316897,50.0826733279651,0.00358057650423882,0.00202459477722893,0.0206894803607977,0.0938852443645516,132
1.4226843433992,56.4696494205094,0.0032605617814426,0.00166580647247865,0.0198278920196228,0.0897624889156476,133
1.42324303192129,43.8381955695319,0.00314309959543457,0.00173377198050715,0.0207264167561056,0.103619876767946,134
1.41189593274069,49.2441933827416,0.00334809143260002,0.00160759476598645,0.0198886694891083,0.0824828871971636,135
1.45838146863464,41.7457923552846,0.00279215903181642,0.00151980952301619,0.0205219109798542,0.112905139314221,136
1.44082421519309,36.6920428327466,0.00314313398406286,0.00183797921458887,0.0229750917156709,0.138415971347755,137
1.46217734395416,40.97321090664,0.00289842564290303,0.00161434923029114,0.0210809979912022,0.102916755820612,138
1.44376172218942,43.159569878285,0.00300295320534253,0.00169900282769547,0.0210946838687586,0.104495091339088,139
1.42519266900798,41.8762686294971,0.00333094454892831,0.00165041094933765,0.0220327292691335,0.113886777427548,140
1.41191685532364,43.0708553126969,0.0033794192106603,0.00190941279713976,0.0202524724678725,0.0820957188401117,141
1.44264789477332,40.4756469056367,0.00312388029930066,0.00168697457609707,0.0210933303748956,0.105896481059366,142
1.41319442322603,41.9369651929777,0.00342074833449234,0.00187927261027274,0.0202183623362921,0.0887215761386567,143
1.40346420874409,53.1886925115107,0.00356144000529016,0.00193241619174186,0.0204199426225241,0.0820428087373489,144
1.43986770960414,54.7622767712579,0.00319092081329024,0.00182666190918821,0.0214417203605403,0.0879847422986819,145
1.40710009789664,50.9442285492889,0.00352966557411622,0.00198997145340562,0.0209761430144554,0.0849629423798947,146
1.40462524357372,49.929187272272,0.00324416987560557,0.00167977372805495,0.0202160677997755,0.109149276109441,147
1.43802967154392,46.2464398695965,0.0028792947870671,0.00133553930622588,0.0189962107720269,0.105002160420651,148
1.40676616501699,40.0382761311771,0.00368560872705703,0.00203607899752066,0.0214326251995368,0.0846929914315347,149
1.43744176144286,39.9764013038668,0.00312032148833111,0.00188104378025307,0.02193309759454,0.110447016279684,150
1.42809180450118,48.2217962241417,0.00323254443837551,0.00172313158399208,0.0213459743496124,0.100348932762688,151
1.42732310684655,42.9826354272753,0.00312411101307922,0.00162065557033587,0.0211959596131775,0.116093305745333,152
1.39261814922549,46.0115139253786,0.00372536549508725,0.00180708871350023,0.0210882368451397,0.103949632183436,153
1.43532309724762,46.9896534561351,0.00318940794023447,0.00192354862758809,0.0207934028881947,0.0933626003277449,154
1.41070502381116,43.5284285147796,0.00348709180681997,0.00207078262186597,0.0212274333512855,0.0876732427982026,155
1.43413952140815,49.6109413606459,0.00333685631346015,0.00200079253130741,0.0213742378742782,0.0837289980894977,156
1.43775813848238,52.0188309231167,0.00321240118084897,0.00169329310638576,0.0208210395296749,0.0950442522441677,157
1.41962953029006,47.7580258416355,0.0032427128930592,0.00170396553865026,0.0197629512152396,0.0869202828350521,158
1.43456105258556,50.4317877725376,0.00301132707000732,0.00148864942831547,0.0193858005068241,0.0932636076982617,159
1.43572059563904,50.6181858936674,0.00303824353348678,0.00151455880353896,0.0203150306517966,0.112051281713797,160
1.42751998197486,48.3492283367185,0.00315189583312833,0.00172230534969658,0.0207960165242436,0.105675209479753,161
1.43265360738511,51.7670711879912,0.00309657804107988,0.00203372258607105,0.0214696174511748,0.114366023605006,162
1.42654460872378,49.1924656985031,0.00327944526282197,0.00164898249983031,0.0204838386606204,0.0941817529454437,163
1.41576424257516,40.9889903384869,0.00353501067346101,0.00196405109824889,0.0216478371122397,0.0987765195021364,164
1.41544966266922,60.3389895501176,0.00332417680342906,0.00165234388768096,0.0197253136097726,0.0822945548688939,165
1.40747797831163,52.0834965335856,0.00340828349302256,0.00163999792371538,0.0199741824880102,0.0985969093541705,166
1.41820933792282,48.4226284918511,0.0035664193361186,0.00185706615918617,0.0212307130947742,0.09157364632254,167
1.41247613808642,42.8892150019842,0.00346461339379979,0.0017803411634101,0.0208775455150689,0.0885896631448141,168
1.4441397298753,47.5912518276542,0.00289121446493197,0.00145945496081065,0.0207643925610111,0.110719168639686,169
1.41928551293459,48.8367366803534,0.00324527037324416,0.00159288558295714,0.0199773070672548,0.115553167007037,170
1.43172938468842,36.4698121321699,0.00331365463126548,0.00176903861909973,0.0228673669194028,0.105940496397751,171
1.41795215276998,44.3619487377569,0.00319679460299981,0.00148912948056458,0.0198588131818065,0.097251238500134,172
1.41391676634648,42.9731109330225,0.0037377099822044,0.00197712971214862,0.0220807878791962,0.0957290493222569,173
1.42161848220475,53.4456331318266,0.00321441052989957,0.00170543732692272,0.0204744451764459,0.0986400958420743,174
1.4201751220748,49.7764673449885,0.00316516152709012,0.00162876519441007,0.0193039360954712,0.0939824187990934,175
1.39084311851155,41.4756868127058,0.00394068306781497,0.00217839559105515,0.022185486477565,0.0968696322355625,176
1.39830737377449,45.5873228518111,0.00366048103243213,0.00183139116085517,0.0202103719174086,0.0870961129925932,177
1.43299689221472,50.2424538159082,0.00321906431424689,0.00190491398221595,0.0207894834933513,0.0920390244558615,178
1.44162931131327,51.0160553990446,0.00295155396144454,0.00148673902973686,0.0202252917332934,0.101858211745284,179
1.43684148762339,50.917329325877,0.00294198278469054,0.00160530752462851,0.0197947853966673,0.0962711529808697,180
1.44234742133175,42.8442776762384,0.00311062190882666,0.00162721056962225,0.0215467810604589,0.106601034515859,181
1.43791186547993,47.5874852020161,0.00323350225629216,0.00200032468256323,0.0219385782326434,0.109510579738442,182
