"site","dti","iter"
"Jenaro Herrera",0.000421663893295454,128
"Jenaro Herrera",0.00406630371975847,129
"Jenaro Herrera",0.00501860794871578,130
"Jenaro Herrera",0.0282584134159909,131
"Jenaro Herrera",0.0368640191697186,132
"Jenaro Herrera",0.0123437886494204,133
"Jenaro Herrera",0.0122139630570169,134
"Jenaro Herrera",0.0302137629163791,135
"Jenaro Herrera",0.00174710590728067,136
"Jenaro Herrera",0.000824023472501656,137
"Jenaro Herrera",0.0144006263574499,138
"Jenaro Herrera",0.014074166084399,139
"Jenaro Herrera",0.0338382325660173,140
"Jenaro Herrera",0.0025708638409413,141
"Jenaro Herrera",0.0310005540457935,142
"Jenaro Herrera",0.025050857473578,143
"Jenaro Herrera",0.0126525821880474,144
"Jenaro Herrera",0.000666473435088411,145
"Jenaro Herrera",0.0181444228580988,146
"Jenaro Herrera",0.000835512450987785,147
"Jenaro Herrera",0.0190328311339507,148
"Jenaro Herrera",0.000257174163658336,149
"Jenaro Herrera",0.0124127216854523,150
"Jenaro Herrera",0.00135164122958675,151
"Jenaro Herrera",0.010544752258444,152
"Jenaro Herrera",0.00116966628573534,153
"Jenaro Herrera",0.00467486339694922,154
"Jenaro Herrera",0.045260513673773,155
"Jenaro Herrera",0.015044686601616,156
"Jenaro Herrera",0.00192431090349576,157
"Jenaro Herrera",0.0240265446908338,158
"Jenaro Herrera",0.0159191164337233,159
"Jenaro Herrera",0.0159020538583156,160
"Jenaro Herrera",0.013278050163243,161
"Jenaro Herrera",0.0296129005397041,162
"Jenaro Herrera",0.0106753091367172,163
"Jenaro Herrera",0.014189170085647,164
"Jenaro Herrera",0.0171442351959289,165
"Jenaro Herrera",0.00260610912980075,166
"Jenaro Herrera",0.00729741539465356,167
"Jenaro Herrera",0.00320031451996494,168
"Jenaro Herrera",0.00100962466231835,169
"Jenaro Herrera",0.00794599764774029,170
"Jenaro Herrera",0.0119170275160267,171
"Jenaro Herrera",0.0230457313150796,172
"Jenaro Herrera",0.0338909213862633,173
"Jenaro Herrera",0.00362352463683524,174
"Jenaro Herrera",0.0064075265650958,175
"Jenaro Herrera",0.0245271757392648,176
"Jenaro Herrera",0.0156493174452427,177
"Jenaro Herrera",0.0103204407998934,178
"Jenaro Herrera",0.00479253362116139,179
"Jenaro Herrera",0.0244787597892862,180
"Jenaro Herrera",0.0357823982413585,181
"Jenaro Herrera",0.0152774821394669,182
"Jenaro Herrera",0.00787091326453682,183
"Jenaro Herrera",0.0115499751508471,184
"Jenaro Herrera",0.00630973599237117,185
"Jenaro Herrera",0.00441502222169432,186
"Jenaro Herrera",0.00648818123658568,187
"Jenaro Herrera",0.00586758722087966,188
"Jenaro Herrera",0.00426511067557078,189
"Jenaro Herrera",0.0160833306577004,190
"Jenaro Herrera",0.0106816237246213,191
"Jenaro Herrera",0.00160922497628668,192
"Jenaro Herrera",0.0146391159132442,193
"Jenaro Herrera",0.00986306533118619,194
"Jenaro Herrera",0.0333701766351209,195
"Jenaro Herrera",0.00850557912006344,196
"Jenaro Herrera",0.0016039912689304,197
"Jenaro Herrera",0.000791085645185929,198
"Jenaro Herrera",0.00265816252354212,199
"Jenaro Herrera",0.00302515385154511,200
"Jenaro Herrera",0.000882148997008558,201
"Jenaro Herrera",0.0184218313002074,202
"Jenaro Herrera",0.00194379074254825,203
"Jenaro Herrera",0.00639588405228342,204
"Jenaro Herrera",0.00454722809320873,205
"Jenaro Herrera",0.0267538462256891,206
"Jenaro Herrera",0.00449603493233841,207
"Jenaro Herrera",0.0174492725712305,208
"Jenaro Herrera",0.00352283178145196,209
"Jenaro Herrera",0.0441268121832522,210
"Jenaro Herrera",0.00143255991839264,211
"Jenaro Herrera",0.00270799367504981,212
"Jenaro Herrera",0.0608229087272139,213
"Jenaro Herrera",0.00581047745754737,214
"Jenaro Herrera",0.0110455242934339,215
"Jenaro Herrera",0.00395935228667854,216
"Jenaro Herrera",0.0148496710930608,217
"Jenaro Herrera",0.0276106787474869,218
"Jenaro Herrera",0.0335935390119386,219
"Jenaro Herrera",0.00500025449669139,220
"Jenaro Herrera",0.000390658786651565,221
"Jenaro Herrera",0.0145148757785233,222
"Jenaro Herrera",0.0125263412928783,223
"Jenaro Herrera",0.00494581141592565,224
"Jenaro Herrera",0.000592887840487055,225
"Jenaro Herrera",0.0251982469820361,226
"Jenaro Herrera",0.0225942730974378,227
"Jenaro Herrera",0.0291378273066035,228
"Jenaro Herrera",0.00152516717925621,229
"Jenaro Herrera",0.028187746025684,230
"Jenaro Herrera",0.00522653208897728,231
