"longitude","latitude","aG","vclimax"
-78.5,-5.5,6.07750177383423,168.41633605957
-78.5,-5.5,6.07750177383423,123.240547180176
-78.5,-5.5,6.07750177383423,132.374893188477
-78.5,-5.5,6.38192844390869,132.374893188477
-78.5,-5.5,6.50974225997925,126.474975585938
-78.5,-5.5,6.38192844390869,125.424369812012
-78.5,-5.5,6.38192844390869,123.240547180176
-78.5,-5.5,6.50974225997925,132.374893188477
-78.5,-5.5,6.45999240875244,127.263748168945
-78.5,-5.5,6.9444055557251,123.205421447754
-78.5,-5.5,6.9444055557251,125.424369812012
-78.5,-5.5,5.2956714630127,127.263748168945
-78.5,-5.5,6.9444055557251,123.240547180176
-78.5,-5.5,6.38003396987915,126.474975585938
-78.5,-5.5,6.50974225997925,126.855484008789
-78.5,-5.5,6.38003396987915,127.263748168945
-78.5,-5.5,6.09327459335327,125.424369812012
-78.5,-5.5,6.09327459335327,127.263748168945
-78.5,-5.5,6.38192844390869,123.205421447754
-78.5,-5.5,6.45999240875244,123.240547180176
-78.5,-5.5,5.2956714630127,126.474975585938
-78.5,-5.5,6.9444055557251,125.424369812012
-78.5,-5.5,6.07750177383423,123.205421447754
-78.5,-5.5,6.50974225997925,123.240547180176
-78.5,-5.5,6.38192844390869,126.474975585938
-78.5,-5.5,6.38192844390869,123.240547180176
-78.5,-5.5,4.8960132598877,168.41633605957
-78.5,-5.5,6.11419248580933,125.424369812012
-78.5,-5.5,5.2956714630127,125.424369812012
-78.5,-5.5,6.45999240875244,124.64722442627
-78.5,-5.5,6.20987462997437,123.205421447754
-78.5,-5.5,6.07750177383423,123.292762756348
-78.5,-5.5,6.50974225997925,127.263748168945
-78.5,-5.5,6.38192844390869,124.64722442627
-78.5,-5.5,6.38003396987915,168.41633605957
-78.5,-5.5,6.50974225997925,126.474975585938
-78.5,-5.5,6.07750177383423,126.855484008789
-78.5,-5.5,6.38192844390869,121.397468566895
-78.5,-5.5,6.50974225997925,127.263748168945
-78.5,-5.5,6.38192844390869,125.424369812012
-78.5,-5.5,6.38192844390869,125.424369812012
-78.5,-5.5,6.50974225997925,168.007125854492
-78.5,-5.5,4.8960132598877,123.240547180176
-78.5,-5.5,6.50974225997925,168.007125854492
-78.5,-5.5,6.07750177383423,127.263748168945
-78.5,-5.5,6.38192844390869,123.240547180176
-78.5,-5.5,6.50974225997925,125.424369812012
-78.5,-5.5,6.45999240875244,123.205421447754
-78.5,-5.5,6.45999240875244,125.424369812012
-78.5,-5.5,6.50974225997925,123.240547180176
-78.5,-5.5,5.95566463470459,123.240547180176
-78.5,-5.5,5.2956714630127,125.424369812012
-78.5,-5.5,6.38003396987915,123.292762756348
-78.5,-5.5,6.38003396987915,127.263748168945
-78.5,-5.5,6.50974225997925,127.263748168945
-78.5,-5.5,6.20987462997437,123.205421447754
-78.5,-5.5,6.11419248580933,127.263748168945
-78.5,-5.5,6.38192844390869,125.965202331543
-78.5,-5.5,6.38192844390869,123.240547180176
-78.5,-5.5,6.45999240875244,123.240547180176
-78.5,-5.5,6.38192844390869,123.205421447754
-78.5,-5.5,6.38192844390869,126.474975585938
-78.5,-5.5,6.50974225997925,123.205421447754
-78.5,-5.5,6.9444055557251,123.240547180176
-78.5,-5.5,6.45999240875244,126.474975585938
-78.5,-5.5,6.9444055557251,123.240547180176
-78.5,-5.5,6.11419248580933,127.263748168945
-78.5,-5.5,6.50974225997925,124.64722442627
-78.5,-5.5,6.9444055557251,124.64722442627
-78.5,-5.5,6.25256490707397,126.474975585938
-78.5,-5.5,6.11419248580933,123.240547180176
-78.5,-5.5,6.38192844390869,123.240547180176
-78.5,-5.5,6.38192844390869,127.263748168945
-78.5,-5.5,6.50974225997925,123.205421447754
-78.5,-5.5,6.11419248580933,125.424369812012
-78.5,-5.5,6.09327459335327,125.424369812012
-78.5,-5.5,6.50974225997925,125.424369812012
-78.5,-5.5,6.09327459335327,168.007125854492
-78.5,-5.5,5.2956714630127,127.263748168945
-78.5,-5.5,6.38003396987915,123.205421447754
-78.5,-5.5,6.07750177383423,125.424369812012
-78.5,-5.5,6.38003396987915,123.240547180176
-78.5,-5.5,6.38192844390869,125.424369812012
-78.5,-5.5,6.07750177383423,123.205421447754
-78.5,-5.5,6.50974225997925,123.240547180176
-78.5,-5.5,5.2956714630127,123.292762756348
-78.5,-5.5,6.07750177383423,168.007125854492
-78.5,-5.5,6.38192844390869,127.263748168945
-78.5,-5.5,6.38192844390869,123.205421447754
-78.5,-5.5,6.38192844390869,121.397468566895
-78.5,-5.5,6.11419248580933,123.240547180176
-78.5,-5.5,6.07750177383423,125.424369812012
-78.5,-5.5,6.38003396987915,125.965202331543
-78.5,-5.5,6.38003396987915,168.41633605957
-78.5,-5.5,6.09327459335327,126.474975585938
-78.5,-5.5,6.20987462997437,127.263748168945
-78.5,-5.5,6.38003396987915,126.855484008789
-78.5,-5.5,6.50974225997925,132.374893188477
-78.5,-5.5,6.50974225997925,126.474975585938
-78.5,-5.5,6.50974225997925,123.205421447754
-78.5,-4.5,5.23366498947144,185.559555053711
-78.5,-4.5,6.25256490707397,183.04931640625
-78.5,-4.5,5.66310977935791,140.947387695312
-78.5,-4.5,4.618004322052,129.822631835938
-78.5,-4.5,5.66310977935791,132.374893188477
-78.5,-4.5,5.23366498947144,179.963928222656
-78.5,-4.5,5.01675081253052,180.746185302734
-78.5,-4.5,6.25256490707397,125.965202331543
-78.5,-4.5,6.38192844390869,125.965202331543
-78.5,-4.5,6.25256490707397,123.292762756348
-78.5,-4.5,5.45302534103394,140.986968994141
-78.5,-4.5,5.66310977935791,129.822631835938
-78.5,-4.5,6.11419248580933,140.986968994141
-78.5,-4.5,5.45302534103394,183.04931640625
-78.5,-4.5,6.79732227325439,125.965202331543
-78.5,-4.5,5.11940336227417,185.178283691406
-78.5,-4.5,6.11419248580933,140.645629882812
-78.5,-4.5,5.66310977935791,185.559555053711
-78.5,-4.5,5.11940336227417,129.822631835938
-78.5,-4.5,6.25256490707397,129.822631835938
-78.5,-4.5,5.48830509185791,132.374893188477
-78.5,-4.5,4.8960132598877,183.04931640625
-78.5,-4.5,5.87349319458008,183.04931640625
-78.5,-4.5,5.66310977935791,180.746185302734
-78.5,-4.5,5.3176531791687,180.746185302734
-78.5,-4.5,6.11419248580933,180.746185302734
-78.5,-4.5,5.87349319458008,185.559555053711
-78.5,-4.5,5.87349319458008,140.645629882812
-78.5,-4.5,5.11940336227417,132.374893188477
-78.5,-4.5,5.87349319458008,132.374893188477
-78.5,-4.5,5.95566463470459,132.374893188477
-78.5,-4.5,5.97711849212646,183.04931640625
-78.5,-4.5,5.27665948867798,129.822631835938
-78.5,-4.5,5.01675081253052,140.986968994141
-78.5,-4.5,6.25256490707397,140.986968994141
-78.5,-4.5,5.27665948867798,132.374893188477
-78.5,-4.5,5.66310977935791,132.374893188477
-78.5,-4.5,5.11940336227417,183.04931640625
-78.5,-4.5,5.66310977935791,180.746185302734
-78.5,-4.5,5.45302534103394,180.746185302734
-78.5,-4.5,5.45302534103394,140.986968994141
-78.5,-4.5,6.25256490707397,125.624588012695
-78.5,-4.5,5.66310977935791,180.746185302734
-78.5,-4.5,5.45302534103394,125.965202331543
-78.5,-4.5,6.11419248580933,125.624588012695
-78.5,-4.5,6.25256490707397,183.04931640625
-78.5,-4.5,6.11419248580933,140.986968994141
-78.5,-4.5,5.23366498947144,125.624588012695
-78.5,-4.5,5.23366498947144,140.986968994141
-78.5,-4.5,5.87349319458008,183.04931640625
-78.5,-4.5,5.87349319458008,140.986968994141
-78.5,-4.5,5.45302534103394,140.947387695312
-78.5,-4.5,5.11940336227417,132.374893188477
-78.5,-4.5,6.11419248580933,185.559555053711
-78.5,-4.5,5.11940336227417,140.947387695312
-78.5,-4.5,6.25256490707397,183.04931640625
-78.5,-4.5,5.66310977935791,129.822631835938
-78.5,-4.5,5.87349319458008,132.374893188477
-78.5,-4.5,6.25256490707397,129.822631835938
-78.5,-4.5,6.11419248580933,125.965202331543
-78.5,-4.5,5.11940336227417,140.947387695312
-78.5,-4.5,5.45302534103394,183.04931640625
-78.5,-4.5,6.23464870452881,129.822631835938
-78.5,-4.5,5.23366498947144,180.746185302734
-78.5,-4.5,5.23366498947144,180.746185302734
-78.5,-4.5,5.66310977935791,132.374893188477
-78.5,-4.5,6.25256490707397,140.947387695312
-78.5,-4.5,5.66310977935791,140.947387695312
-78.5,-4.5,5.27665948867798,127.263748168945
-78.5,-4.5,5.87349319458008,168.007125854492
-78.5,-4.5,5.87349319458008,132.374893188477
-78.5,-4.5,5.87349319458008,140.645629882812
-78.5,-4.5,5.48830509185791,127.263748168945
-78.5,-4.5,6.11419248580933,125.965202331543
-78.5,-4.5,5.87349319458008,125.965202331543
-78.5,-4.5,5.01675081253052,140.947387695312
-78.5,-4.5,5.66310977935791,129.822631835938
-78.5,-4.5,6.79732227325439,180.746185302734
-78.5,-4.5,5.66310977935791,143.746871948242
-78.5,-4.5,5.27665948867798,125.965202331543
-78.5,-4.5,5.27665948867798,132.374893188477
-78.5,-4.5,6.11419248580933,143.746871948242
-78.5,-4.5,5.66310977935791,183.04931640625
-78.5,-4.5,6.11419248580933,179.963928222656
-78.5,-4.5,4.618004322052,179.963928222656
-78.5,-4.5,6.07750177383423,140.986968994141
-78.5,-4.5,5.66310977935791,140.986968994141
-78.5,-4.5,5.87349319458008,140.947387695312
-78.5,-4.5,5.3176531791687,125.965202331543
-78.5,-4.5,6.11419248580933,143.746871948242
-78.5,-4.5,6.11419248580933,140.947387695312
-78.5,-4.5,4.8960132598877,140.947387695312
-78.5,-4.5,5.48830509185791,180.746185302734
-78.5,-4.5,6.11419248580933,125.965202331543
-78.5,-4.5,5.27665948867798,129.822631835938
-78.5,-4.5,5.27665948867798,180.746185302734
-78.5,-4.5,5.27665948867798,185.178283691406
-78.5,-4.5,6.25256490707397,180.746185302734
-78.5,-4.5,5.27665948867798,140.986968994141
-78.5,-4.5,6.11419248580933,129.822631835938
-78.5,-3.5,5.18350172042847,142.420013427734
-78.5,-3.5,5.76195383071899,140.986968994141
-78.5,-3.5,5.66310977935791,140.986968994141
-78.5,-3.5,5.66310977935791,140.986968994141
-78.5,-3.5,5.45021390914917,158.364440917969
-78.5,-3.5,5.66310977935791,162.76123046875
-78.5,-3.5,5.66310977935791,160.911499023438
-78.5,-3.5,5.48830509185791,125.302787780762
-78.5,-3.5,5.10544395446777,162.76123046875
-78.5,-3.5,5.3176531791687,143.338165283203
-78.5,-3.5,5.66310977935791,140.947387695312
-78.5,-3.5,5.45021390914917,140.947387695312
-78.5,-3.5,5.45021390914917,177.497146606445
-78.5,-3.5,5.48830509185791,140.986968994141
-78.5,-3.5,5.76195383071899,143.338165283203
-78.5,-3.5,5.76195383071899,140.831176757812
-78.5,-3.5,4.54049825668335,140.986968994141
-78.5,-3.5,5.66310977935791,160.911499023438
-78.5,-3.5,5.66310977935791,162.76123046875
-78.5,-3.5,5.45021390914917,160.911499023438
-78.5,-3.5,5.45021390914917,185.178283691406
-78.5,-3.5,5.66310977935791,160.911499023438
-78.5,-3.5,5.97711849212646,140.947387695312
-78.5,-3.5,5.66310977935791,140.986968994141
-78.5,-3.5,5.01675081253052,140.947387695312
-78.5,-3.5,5.01675081253052,140.947387695312
-78.5,-3.5,6.79732227325439,160.911499023438
-78.5,-3.5,6.44257259368896,140.986968994141
-78.5,-3.5,5.10544395446777,125.624588012695
-78.5,-3.5,5.01675081253052,162.76123046875
-78.5,-3.5,5.24679183959961,140.831176757812
-78.5,-3.5,5.10544395446777,160.911499023438
-78.5,-3.5,5.45021390914917,162.76123046875
-78.5,-3.5,5.66310977935791,143.338165283203
-78.5,-3.5,5.10544395446777,140.986968994141
-78.5,-3.5,5.48830509185791,185.559555053711
-78.5,-3.5,5.01675081253052,140.947387695312
-78.5,-3.5,5.01675081253052,140.986968994141
-78.5,-3.5,5.48830509185791,177.497146606445
-78.5,-3.5,5.24679183959961,162.76123046875
-78.5,-3.5,5.01210880279541,185.559555053711
-78.5,-3.5,5.45021390914917,125.302787780762
-78.5,-3.5,5.48830509185791,207.285568237305
-78.5,-3.5,5.01210880279541,140.986968994141
-78.5,-3.5,5.66310977935791,140.986968994141
-78.5,-3.5,5.45021390914917,162.76123046875
-78.5,-3.5,5.45021390914917,140.947387695312
-78.5,-3.5,4.54049825668335,140.831176757812
-78.5,-3.5,5.24679183959961,207.285568237305
-78.5,-3.5,5.45021390914917,140.986968994141
-78.5,-3.5,5.66310977935791,160.911499023438
-78.5,-3.5,5.3176531791687,162.76123046875
-78.5,-3.5,5.45021390914917,143.338165283203
-78.5,-3.5,5.01675081253052,162.76123046875
-78.5,-3.5,5.76195383071899,177.382446289062
-78.5,-3.5,5.01675081253052,140.986968994141
-78.5,-3.5,5.01210880279541,162.76123046875
-78.5,-3.5,5.14181470870972,125.624588012695
-78.5,-3.5,5.24679183959961,140.986968994141
-78.5,-3.5,5.24679183959961,140.947387695312
-78.5,-3.5,4.71054029464722,160.911499023438
-78.5,-3.5,5.01210880279541,160.911499023438
-78.5,-3.5,5.76195383071899,162.76123046875
-78.5,-3.5,5.45021390914917,160.911499023438
-78.5,-3.5,5.3176531791687,140.986968994141
-78.5,-3.5,5.66310977935791,160.911499023438
-78.5,-3.5,6.44257259368896,162.76123046875
-78.5,-3.5,5.01210880279541,158.364440917969
-78.5,-3.5,5.01210880279541,125.624588012695
-78.5,-3.5,5.76195383071899,140.986968994141
-78.5,-3.5,4.54049825668335,129.822631835938
-78.5,-3.5,5.24679183959961,162.76123046875
-78.5,-3.5,4.54049825668335,140.986968994141
-78.5,-3.5,5.97711849212646,160.911499023438
-78.5,-3.5,5.66310977935791,160.911499023438
-78.5,-3.5,5.66310977935791,140.947387695312
